# golden_marginal_pos_trace - per-frame reference output for Stage 1a
# MARGINAL POSITIVE: five_inch seed=594317972 snr=+9dB bed=pink f0=479.1Hz; flips at 2.140 vs operating 2.1400
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 1   VERDICT: FIRES
# peak score 2.508991   longest chain 6/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
59,2.016000,1.073031,1715,1785.0,1785.0,4,0,0,0,0,0,0,0
60,2.048000,1.027846,1794,1864.0,1864.0,4,0,0,0,0,0,0,0
61,2.080000,0.928097,864,934.0,934.0,8,0,0,0,0,0,0,0
62,2.112000,1.006502,1600,1670.0,1670.0,4,0,0,0,0,0,0,0
63,2.144000,0.812030,932,1002.0,1002.0,7,0,0,0,0,0,0,0
64,2.176000,1.054140,615,685.0,685.0,10,0,0,0,0,0,0,0
65,2.208000,0.819527,1711,1781.0,1781.0,4,0,0,0,0,0,0,0
66,2.240000,1.160029,1500,1570.0,1570.0,4,0,0,0,0,0,0,0
67,2.272000,0.858906,1284,1354.0,1354.0,5,0,0,0,0,0,0,0
68,2.304000,1.066777,1284,1354.0,1354.0,5,0,0,0,0,0,0,0
69,2.336000,1.694492,452,522.0,522.0,11,0,0,0,0,0,0,0
70,2.368000,2.056243,448,518.0,518.0,12,0,0,0,0,0,0,0
71,2.400000,2.364818,449,519.0,519.0,12,0,0,0,1,1,1,0
72,2.432000,1.620548,189,259.0,259.0,12,0,0,0,0,0,0,0
73,2.464000,1.619714,449,519.0,519.0,10,0,0,0,0,0,0,0
74,2.496000,2.140178,448,518.0,518.0,11,0,0,0,1,1,1,0
75,2.528000,2.230808,448,518.0,518.0,12,0,0,0,1,1,2,0
76,2.560000,2.029312,448,518.0,518.0,11,0,0,0,0,0,0,0
77,2.592000,1.554973,449,519.0,519.0,11,0,0,0,0,0,0,0
78,2.624000,1.637973,190,260.0,260.0,11,0,0,0,0,0,0,0
79,2.656000,2.187974,449,519.0,519.0,12,0,0,0,1,1,1,0
80,2.688000,2.047538,449,519.0,519.0,12,0,0,0,0,0,0,0
81,2.720000,1.760972,452,522.0,522.0,10,0,0,0,0,0,0,0
82,2.752000,1.917502,449,519.0,519.0,12,0,0,0,0,0,0,0
83,2.784000,2.029603,449,519.0,519.0,10,0,0,0,0,0,0,0
84,2.816000,1.838135,449,519.0,519.0,11,0,0,0,0,0,0,0
85,2.848000,1.648979,449,519.0,519.0,10,0,0,0,0,0,0,0
86,2.880000,1.868003,449,519.0,519.0,11,0,0,0,0,0,0,0
87,2.912000,1.766296,446,516.0,516.0,12,0,0,0,0,0,0,0
88,2.944000,1.654467,445,515.0,515.0,10,0,0,0,0,0,0,0
89,2.976000,1.621394,446,516.0,516.0,12,0,0,0,0,0,0,0
90,3.008000,1.972126,444,514.0,514.0,12,0,0,0,0,0,0,0
91,3.040000,2.095915,443,513.0,513.0,11,0,0,0,0,0,0,0
92,3.072000,1.694368,443,513.0,513.0,11,0,0,0,0,0,0,0
93,3.104000,1.664805,186,256.0,256.0,12,0,0,0,0,0,0,0
94,3.136000,1.200887,100,170.0,170.0,12,0,0,0,0,0,0,0
95,3.168000,1.493267,186,256.0,256.0,11,0,0,0,0,0,0,0
96,3.200000,1.657734,101,171.0,171.0,12,0,0,0,0,0,0,0
97,3.232000,1.451004,438,508.0,508.0,11,0,0,0,0,0,0,0
98,3.264000,1.769452,442,512.0,512.0,11,0,0,0,0,0,0,0
99,3.296000,1.682189,439,509.0,509.0,11,0,0,0,0,0,0,0
100,3.328000,1.642072,441,511.0,511.0,11,0,0,0,0,0,0,0
101,3.360000,1.540180,441,511.0,511.0,11,0,0,0,0,0,0,0
102,3.392000,1.824243,439,509.0,509.0,11,0,0,0,0,0,0,0
103,3.424000,1.720745,438,508.0,508.0,11,0,0,0,0,0,0,0
104,3.456000,1.583186,438,508.0,508.0,12,0,0,0,0,0,0,0
105,3.488000,1.422011,438,508.0,508.0,11,0,0,0,0,0,0,0
106,3.520000,1.595394,440,510.0,510.0,10,0,0,0,0,0,0,0
107,3.552000,1.473846,439,509.0,509.0,10,0,0,0,0,0,0,0
108,3.584000,1.658476,438,508.0,508.0,12,0,0,0,0,0,0,0
109,3.616000,1.612638,437,507.0,507.0,12,0,0,0,0,0,0,0
110,3.648000,1.580835,439,509.0,509.0,12,0,0,0,0,0,0,0
111,3.680000,1.228187,439,509.0,509.0,11,0,0,0,0,0,0,0
112,3.712000,1.295277,186,256.0,256.0,11,0,0,0,0,0,0,0
113,3.744000,1.618411,438,508.0,508.0,12,0,0,0,0,0,0,0
114,3.776000,1.830157,439,509.0,509.0,12,0,0,0,0,0,0,0
115,3.808000,1.379529,439,509.0,509.0,12,0,0,0,0,0,0,0
116,3.840000,1.428922,438,508.0,508.0,12,0,0,0,0,0,0,0
117,3.872000,1.572615,438,508.0,508.0,12,0,0,0,0,0,0,0
118,3.904000,1.307115,185,255.0,255.0,12,0,0,0,0,0,0,0
119,3.936000,1.124845,430,500.0,500.0,10,1,0,0,0,0,0,0
120,3.968000,1.301871,438,508.0,508.0,12,1,0,0,0,0,0,0
121,4.000000,1.367827,438,508.0,508.0,12,0,0,0,0,0,0,0
122,4.032000,1.684616,436,506.0,506.0,12,0,0,0,0,0,0,0
123,4.064000,1.688622,438,508.0,508.0,11,0,0,0,0,0,0,0
124,4.096000,1.595954,437,507.0,507.0,10,0,0,0,0,0,0,0
125,4.128000,1.860210,436,506.0,506.0,12,0,0,0,0,0,0,0
126,4.160000,1.764918,434,504.0,504.0,12,0,0,0,0,0,0,0
127,4.192000,1.756384,435,505.0,505.0,11,0,0,0,0,0,0,0
128,4.224000,1.927551,433,503.0,503.0,11,0,0,0,0,0,0,0
129,4.256000,1.811714,433,503.0,503.0,11,0,0,0,0,0,0,0
130,4.288000,1.893725,433,503.0,503.0,11,0,0,0,0,0,0,0
131,4.320000,1.887900,433,503.0,503.0,12,0,0,0,0,0,0,0
132,4.352000,1.661035,431,501.0,501.0,12,0,0,0,0,0,0,0
133,4.384000,1.992232,432,502.0,502.0,12,0,0,0,0,0,0,0
134,4.416000,2.218719,432,502.0,502.0,12,0,0,0,1,1,1,0
135,4.448000,1.958280,430,500.0,500.0,12,0,0,0,0,0,0,0
136,4.480000,2.270420,429,499.0,499.0,12,0,0,0,1,1,1,0
137,4.512000,2.246118,429,499.0,499.0,12,0,0,0,1,1,2,0
138,4.544000,2.130690,429,499.0,499.0,12,0,0,0,0,0,0,0
139,4.576000,2.124392,429,499.0,499.0,12,0,0,0,0,0,0,0
140,4.608000,2.175615,427,497.0,497.0,12,0,0,0,1,1,1,0
141,4.640000,1.947372,422,492.0,492.0,11,0,0,0,0,0,0,0
142,4.672000,2.087303,424,494.0,494.0,11,0,0,0,0,0,0,0
143,4.704000,1.948812,422,492.0,492.0,11,0,0,0,0,0,0,0
144,4.736000,2.084374,423,493.0,493.0,11,0,0,0,0,0,0,0
145,4.768000,2.339425,423,493.0,493.0,12,0,0,0,1,1,1,0
146,4.800000,2.157832,421,491.0,491.0,12,0,0,0,1,1,2,0
147,4.832000,1.989578,421,491.0,491.0,12,0,0,0,0,0,0,0
148,4.864000,1.779163,175,245.0,245.0,12,0,0,0,0,0,0,0
149,4.896000,2.002804,175,245.0,245.0,11,0,0,0,0,0,0,0
150,4.928000,1.904650,419,489.0,489.0,12,0,0,0,0,0,0,0
151,4.960000,1.686386,173,243.0,243.0,11,0,0,0,0,0,0,0
152,4.992000,1.884294,412,482.0,482.0,11,0,0,0,0,0,0,0
153,5.024000,1.822829,413,483.0,483.0,12,0,0,0,0,0,0,0
154,5.056000,1.871560,171,241.0,241.0,12,0,0,0,0,0,0,0
155,5.088000,2.037493,413,483.0,483.0,12,0,0,0,0,0,0,0
156,5.120000,1.764808,171,241.0,241.0,12,0,0,0,0,0,0,0
157,5.152000,1.943495,412,482.0,482.0,12,0,0,0,0,0,0,0
158,5.184000,2.363736,410,480.0,480.0,11,0,0,0,1,1,1,0
159,5.216000,2.229320,411,481.0,481.0,12,0,0,0,1,1,2,0
160,5.248000,2.179693,407,477.0,477.0,12,0,0,0,1,1,3,0
161,5.280000,1.951394,407,477.0,477.0,11,0,0,0,0,0,1,0
162,5.312000,2.141681,405,475.0,475.0,12,0,0,0,1,1,2,0
163,5.344000,2.390249,405,475.0,475.0,12,0,0,0,1,1,3,0
164,5.376000,2.508991,404,474.0,474.0,12,0,0,0,1,1,4,0
165,5.408000,2.361451,403,473.0,473.0,12,0,0,0,1,1,5,0
166,5.440000,2.132021,403,473.0,473.0,12,0,0,0,0,0,3,0
167,5.472000,2.181223,402,472.0,472.0,11,0,0,0,1,1,4,0
168,5.504000,2.401695,402,472.0,472.0,12,0,0,0,1,1,5,0
169,5.536000,2.140465,401,471.0,471.0,12,0,0,0,1,1,6,1
170,5.568000,2.117918,399,469.0,469.0,12,0,0,0,0,0,4,1
171,5.600000,2.184932,398,468.0,468.0,12,0,0,0,1,1,5,1
172,5.632000,1.928455,397,467.0,467.0,11,0,0,0,0,0,3,1
173,5.664000,1.841244,395,465.0,465.0,12,0,0,0,0,0,1,1
174,5.696000,2.069812,394,464.0,464.0,12,0,0,0,0,0,0,0
175,5.728000,2.232201,394,464.0,464.0,12,0,0,0,1,1,1,0
176,5.760000,2.215593,394,464.0,464.0,12,0,0,0,1,1,2,0
177,5.792000,2.317428,394,464.0,464.0,12,0,0,0,1,1,3,0
178,5.824000,2.367355,394,464.0,464.0,12,0,0,0,1,1,4,0
179,5.856000,1.783772,394,464.0,464.0,12,0,0,0,0,0,2,0
180,5.888000,1.914819,394,464.0,464.0,12,0,0,0,0,0,0,0
181,5.920000,1.959115,390,460.0,460.0,12,0,0,0,0,0,0,0
182,5.952000,1.696554,161,231.0,231.0,12,0,0,0,0,0,0,0
183,5.984000,1.790980,391,461.0,461.0,12,0,0,0,0,0,0,0
184,6.016000,2.217406,391,461.0,461.0,12,0,0,0,1,1,1,0
185,6.048000,2.198439,391,461.0,461.0,11,0,0,0,1,1,2,0
186,6.080000,2.135113,391,461.0,461.0,12,0,0,0,0,0,0,0
187,6.112000,1.999162,391,461.0,461.0,12,0,0,0,0,0,0,0
188,6.144000,1.749115,160,230.0,230.0,12,0,0,0,0,0,0,0
189,6.176000,1.579096,388,458.0,458.0,11,0,0,0,0,0,0,0
190,6.208000,2.050470,386,456.0,456.0,12,0,0,0,0,0,0,0
191,6.240000,1.851765,159,229.0,229.0,12,0,0,0,0,0,0,0
192,6.272000,1.998036,386,456.0,456.0,11,0,0,0,0,0,0,0
193,6.304000,2.083388,386,456.0,456.0,12,0,0,0,0,0,0,0
194,6.336000,2.063392,384,454.0,454.0,12,0,0,0,0,0,0,0
195,6.368000,2.062011,385,455.0,455.0,12,0,0,0,0,0,0,0
196,6.400000,2.124632,385,455.0,455.0,12,0,0,0,0,0,0,0
197,6.432000,2.075140,384,454.0,454.0,12,0,0,0,0,0,0,0
198,6.464000,1.976732,383,453.0,453.0,12,0,0,0,0,0,0,0
199,6.496000,1.905466,385,455.0,455.0,12,0,0,0,0,0,0,0
200,6.528000,1.892689,384,454.0,454.0,12,0,0,0,0,0,0,0
201,6.560000,1.881764,383,453.0,453.0,11,0,0,0,0,0,0,0
202,6.592000,1.627312,383,453.0,453.0,11,0,0,0,0,0,0,0
203,6.624000,1.807762,382,452.0,452.0,12,0,0,0,0,0,0,0
204,6.656000,1.833255,382,452.0,452.0,12,0,0,0,0,0,0,0
205,6.688000,1.645246,380,450.0,450.0,12,0,0,0,0,0,0,0
206,6.720000,1.694534,382,452.0,452.0,11,0,0,0,0,0,0,0
207,6.752000,1.664057,382,452.0,452.0,12,0,0,0,0,0,0,0
208,6.784000,1.908575,382,452.0,452.0,11,0,0,0,0,0,0,0
209,6.816000,1.870000,382,452.0,452.0,12,0,0,0,0,0,0,0
210,6.848000,1.588174,155,225.0,225.0,12,0,0,0,0,0,0,0
211,6.880000,1.586733,381,451.0,451.0,12,0,0,0,0,0,0,0
212,6.912000,1.637292,379,449.0,449.0,12,0,0,0,0,0,0,0
213,6.944000,1.690892,155,225.0,225.0,12,0,0,0,0,0,0,0
214,6.976000,1.358803,379,449.0,449.0,12,0,0,0,0,0,0,0
215,7.008000,1.437652,379,449.0,449.0,10,0,0,0,0,0,0,0
216,7.040000,1.592726,379,449.0,449.0,12,0,0,0,0,0,0,0
217,7.072000,1.745025,378,448.0,448.0,12,0,0,0,0,0,0,0
218,7.104000,1.795461,378,448.0,448.0,12,0,0,0,0,0,0,0
219,7.136000,1.639499,379,449.0,449.0,11,0,0,0,0,0,0,0
220,7.168000,1.605672,379,449.0,449.0,11,0,0,0,0,0,0,0
221,7.200000,1.625232,378,448.0,448.0,12,0,0,0,0,0,0,0
222,7.232000,1.682087,377,447.0,447.0,12,0,0,0,0,0,0,0
223,7.264000,1.784369,377,447.0,447.0,11,0,0,0,0,0,0,0
224,7.296000,1.919176,376,446.0,446.0,12,0,0,0,0,0,0,0
225,7.328000,1.824461,376,446.0,446.0,12,0,0,0,0,0,0,0
226,7.360000,1.981350,375,445.0,445.0,12,0,0,0,0,0,0,0
227,7.392000,2.113743,376,446.0,446.0,12,0,0,0,0,0,0,0
228,7.424000,1.920243,376,446.0,446.0,12,0,0,0,0,0,0,0
229,7.456000,1.742536,373,443.0,443.0,12,0,0,0,0,0,0,0
230,7.488000,1.551826,372,442.0,442.0,11,0,0,0,0,0,0,0
231,7.520000,1.336775,372,442.0,442.0,10,0,0,0,0,0,0,0
