# golden_marginal_neg_trace - per-frame reference output for Stage 1a
# MARGINAL NEGATIVE: livestock seed=1763911438 level=+12dB bed=pink; flips at 2.135 vs operating 2.1400
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 0   VERDICT: NO FIRE
# peak score 2.691269   longest chain 4/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
60,2.048000,1.898986,100,170.0,170.0,12,0,0,0,0,0,0,0
61,2.080000,1.899994,100,170.0,170.0,12,0,0,0,0,0,0,0
62,2.112000,1.871875,100,170.0,170.0,12,0,0,0,0,0,0,0
63,2.144000,1.949551,96,166.0,166.0,12,0,0,0,0,0,0,0
64,2.176000,1.590082,15,85.0,85.0,12,0,0,0,0,0,0,0
65,2.208000,2.133875,13,83.0,83.0,12,0,0,0,0,0,0,0
66,2.240000,1.841391,87,157.0,157.0,12,0,0,0,0,0,0,0
67,2.272000,1.439203,89,159.0,159.0,12,0,0,0,0,0,0,0
68,2.304000,2.089643,91,161.0,161.0,12,0,0,0,0,0,0,0
69,2.336000,2.192026,91,161.0,161.0,12,0,0,0,1,0,0,0
70,2.368000,2.018879,90,160.0,160.0,12,0,0,0,0,0,0,0
71,2.400000,1.911829,84,154.0,154.0,12,0,0,0,0,0,0,0
72,2.432000,1.897590,85,155.0,155.0,11,0,0,0,0,0,0,0
73,2.464000,2.462221,88,158.0,158.0,12,0,0,0,1,0,0,0
74,2.496000,1.816239,86,156.0,156.0,12,1,0,0,0,0,0,0
75,2.528000,1.743737,81,151.0,151.0,12,1,0,0,0,0,0,0
76,2.560000,1.405674,80,150.0,150.0,12,1,0,0,0,0,0,0
77,2.592000,1.160017,80,150.0,150.0,11,1,0,0,0,0,0,0
78,2.624000,0.959943,1251,1321.0,1321.0,5,1,0,0,0,0,0,0
79,2.656000,0.849464,1794,1864.0,1864.0,4,1,0,0,0,0,0,0
80,2.688000,0.914374,47,117.0,117.0,11,1,0,0,0,0,0,0
81,2.720000,0.892977,44,114.0,114.0,11,1,0,0,0,0,0,0
82,2.752000,0.813833,617,687.0,687.0,11,1,0,0,0,0,0,0
83,2.784000,0.839206,1774,1844.0,1844.0,4,1,0,0,0,0,0,0
84,2.816000,0.809191,151,221.0,221.0,11,1,0,0,0,0,0,0
85,2.848000,0.898549,680,750.0,750.0,10,1,0,0,0,0,0,0
86,2.880000,0.874189,457,527.0,527.0,12,1,0,0,0,0,0,0
87,2.912000,0.931181,1568,1638.0,1638.0,4,1,0,0,0,0,0,0
88,2.944000,0.788448,829,899.0,899.0,8,1,0,0,0,0,0,0
89,2.976000,0.997126,358,428.0,428.0,12,1,0,0,0,0,0,0
90,3.008000,0.786078,991,1061.0,1061.0,7,1,0,0,0,0,0,0
91,3.040000,0.854324,1305,1375.0,1375.0,5,1,0,0,0,0,0,0
92,3.072000,0.812620,664,734.0,734.0,9,1,0,0,0,0,0,0
93,3.104000,0.797227,564,634.0,634.0,12,1,0,0,0,0,0,0
94,3.136000,0.921706,209,279.0,279.0,11,1,0,0,0,0,0,0
95,3.168000,0.848655,546,616.0,616.0,11,1,0,0,0,0,0,0
96,3.200000,1.132092,1089,1159.0,1159.0,6,1,0,0,0,0,0,0
97,3.232000,0.945094,65,135.0,135.0,11,1,0,0,0,0,0,0
98,3.264000,0.756778,1601,1671.0,1671.0,4,1,0,0,0,0,0,0
99,3.296000,0.814125,1727,1797.0,1797.0,4,1,0,0,0,0,0,0
100,3.328000,0.853609,613,683.0,683.0,11,1,0,0,0,0,0,0
101,3.360000,0.825436,501,571.0,571.0,11,1,0,0,0,0,0,0
102,3.392000,0.822255,151,221.0,221.0,10,1,0,0,0,0,0,0
103,3.424000,0.899864,1273,1343.0,1343.0,4,1,0,0,0,0,0,0
104,3.456000,0.777411,229,299.0,299.0,12,1,0,0,0,0,0,0
105,3.488000,0.916992,318,388.0,388.0,11,1,0,0,0,0,0,0
106,3.520000,0.881032,667,737.0,737.0,10,1,0,0,0,0,0,0
107,3.552000,0.757319,35,105.0,105.0,12,1,0,0,0,0,0,0
108,3.584000,0.889579,1103,1173.0,1173.0,6,1,0,0,0,0,0,0
109,3.616000,0.858705,69,139.0,139.0,12,1,0,0,0,0,0,0
110,3.648000,0.745681,689,759.0,759.0,10,1,0,0,0,0,0,0
111,3.680000,0.819759,1535,1605.0,1605.0,4,1,0,0,0,0,0,0
112,3.712000,0.797814,1025,1095.0,1095.0,7,1,0,0,0,0,0,0
113,3.744000,0.823439,284,354.0,354.0,12,1,0,0,0,0,0,0
114,3.776000,0.791690,156,226.0,226.0,12,1,0,0,0,0,0,0
115,3.808000,0.978152,395,465.0,465.0,10,1,0,0,0,0,0,0
116,3.840000,0.752879,1284,1354.0,1354.0,5,0,0,0,0,0,0,0
117,3.872000,0.987557,752,822.0,822.0,9,1,0,0,0,0,0,0
118,3.904000,0.835450,188,258.0,258.0,12,0,0,0,0,0,0,0
119,3.936000,0.806088,872,942.0,942.0,7,0,0,0,0,0,0,0
120,3.968000,0.781636,868,938.0,938.0,8,0,0,0,0,0,0,0
121,4.000000,0.812469,1044,1114.0,1114.0,7,0,0,0,0,0,0,0
